State,State_Code,Year,January,February,March,April,May,June,July,August,September,October,November,December
Connecticut,CT,2020,"2,412","2,167","1,841","1,267","1,799","2,052","2,455","2,468","2,437","2,559","2,255","2,147"
Maine,ME,2020,"1,107","1,008","1,014",718,927,"1,065","1,219","1,166","1,139","1,170","1,037","1,107"
Massachusetts,MA,2020,"5,211","4,809","4,173","2,673","3,691","4,404","5,197","5,035","4,921","5,122","4,340","4,742"
New Hampshire,NH,2020,"1,051",934,950,676,834,"1,009","1,118","1,144","1,077","1,093",883,996
New Jersey,NJ,2020,"5,371","5,454","4,991","3,273","4,207","4,943","5,508","5,556","6,232","5,804","5,674","5,754"
New York,NY,2020,"9,483","8,799","8,812","6,003","7,684","8,471","9,699","10,267","9,446","8,960","7,825","8,838"
Pennsylvania,PA,2020,"7,512","6,943","6,561","4,647","6,287","7,514","8,497","8,307","8,485","8,324","7,001","6,896"
RhodeIsland,RI,2020,418,460,484,381,489,558,635,688,926,511,491,506
Vermont,VT,2020,561,512,454,279,404,481,600,586,564,563,445,474
Delaware,DE,2020,748,689,655,487,563,933,891,753,898,774,649,321
District of Columbia,DC,2020,331,242,378,186,215,274,210,294,288,257,234,255
Florida,FL,2020,"19,697","17,414","16,479","11,102","15,168","16,419","16,634","16,145","16,191","17,599","16,607","17,588"
Georgia,GA,2020,"10,785","9,808","9,188","7,104","9,555","9,740","10,695","9,706","9,417","10,555","9,331","10,446"
Maryland,MD,2020,"4,379","3,957","3,766","2,686","3,606","4,309","5,512","4,936","4,333","4,794","4,221","4,204"
North Carolina,NC,2020,"10,330","8,041","8,791","6,404","8,270","9,286","10,013","9,315","9,371","10,367","9,209","9,262"
South Carolina,SC,2020,"4,667","4,217","4,122","3,196","4,135","4,540","4,791","4,371","4,704","4,421","4,154","4,284"
Virginia,VA,2020,"6,798","5,639","5,642","4,170","5,283","5,970","6,724","6,352","6,499","6,550","6,136","6,097"
West Virginia,WV,2020,"1,397","1,224","1,478",992,988,"1,341","1,546","1,417","1,412","1,544","1,722","1,370"
Illinois,IL,2020,"8,288","8,179","6,859","5,805","6,643","8,713","8,386","8,072","7,717","8,492","6,676","7,257"
Indiana,IN,2020,"6,630","5,121","4,909","4,315","5,335","6,103","7,555","6,536","6,584","6,937","5,865","6,515"
Iowa,IA,2020,"2,352","2,301","2,304","2,092","2,438","2,828","2,912","2,812","2,817","2,896","2,238","2,304"
Kansas,KS,2020,"2,410","2,466","2,190","1,801","2,190","2,610","2,737","2,689","2,513","2,594","2,271","2,564"
Michigan,MI,2020,"8,384","8,046","6,896","3,945","5,640","6,981","8,256","7,557","7,796","8,098","6,438","7,509"
Minnesota,MN,2020,"4,486","4,186","4,095","3,332","4,079","4,656","4,851","4,469","4,540","4,391","4,145","4,175"
Missouri,MO,2020,"5,686","4,978","4,825","3,994","5,227","5,788","6,515","6,395","6,647","5,900","5,695","6,366"
Nebraska,NE,2020,"1,507","1,467","1,455","1,236","1,449","1,679","1,880","1,791","1,718","1,771","1,525","1,539"
North Dakota,ND,2020,763,690,779,676,635,781,855,733,690,758,584,678
Ohio,OH,2020,"9,639","7,993","7,430","5,915","7,448","8,863","9,457","8,636","8,860","8,833","8,406","8,439"
South Dakota,SD,2020,601,648,698,574,664,815,979,898,855,765,663,742
Wisconsin,WI,2020,"4,934","4,634","4,459","3,722","4,451","5,077","5,635","5,277","5,039","4,958","4,352","4,357"
Alabama,AL,2020,"5,679","5,058","5,095","4,102","5,393","5,902","5,802","5,771","5,552","5,590","5,127","5,647"
